sample	origin_id	id	well	concentration	rain_event	Env	soil_history	SourceSink	soil_layer	soil_event	sample_type	experiment_day	manure_and_control_soil
S_62	A055MaNtR2_S321_L001_MINLEN-MAXLEN.q25_fixlized.fa	A055MaNtR2	C9	10	R2	water	Nt	sink	x	x	sc_samples	24	no
S_63	A056MaNtR2_S331_L001_MINLEN-MAXLEN.q25_fixlized.fa	A056MaNtR2	D7	10	R2	water	Nt	sink	x	x	sc_samples	24	no
S_64	A057MaNtR2_S332_L001_MINLEN-MAXLEN.q25_fixlized.fa	A057MaNtR2	D8	10	R2	water	Nt	sink	x	x	sc_samples	24	no
S_65	A058MaNtR2_S333_L001_MINLEN-MAXLEN.q25_fixlized.fa	A058MaNtR2	D9	10	R2	water	Nt	sink	x	x	sc_samples	24	no
S_66	A059MaNtR2_S343_L001_MINLEN-MAXLEN.q25_fixlized.fa	A059MaNtR2	E7	10	R2	water	Nt	sink	x	x	sc_samples	24	no
S_67	A060MaNtR2_S344_L001_MINLEN-MAXLEN.q25_fixlized.fa	A060MaNtR2	E8	10	R2	water	Nt	sink	x	x	sc_samples	24	no
S_68	A061MaNtR2_S345_L001_MINLEN-MAXLEN.q25_fixlized.fa	A061MaNtR2	E9	10	R2	water	Nt	sink	x	x	sc_samples	24	no
S_69	A062MaCpR2_S355_L001_MINLEN-MAXLEN.q25_fixlized.fa	A062MaCpR2	F7	10	R2	water	Cp	sink	x	x	sc_samples	24	no
S_70	A063MaCpR2_S356_L001_MINLEN-MAXLEN.q25_fixlized.fa	A063MaCpR2	F8	10	R2	water	Cp	sink	x	x	sc_samples	24	no
S_71	A064MaCpR2_S357_L001_MINLEN-MAXLEN.q25_fixlized.fa	A064MaCpR2	F9	10	R2	water	Cp	sink	x	x	sc_samples	24	no
S_72	A065MaCpR2_S367_L001_MINLEN-MAXLEN.q25_fixlized.fa	A065MaCpR2	G7	8.5547	R2	water	Cp	sink	x	x	sc_samples	24	no
S_73	A066MaCpR2_S368_L001_MINLEN-MAXLEN.q25_fixlized.fa	A066MaCpR2	G8	6.7367	R2	water	Cp	sink	x	x	sc_samples	24	no
S_74	A067MaCpR2_S369_L001_MINLEN-MAXLEN.q25_fixlized.fa	A067MaCpR2	G9	10	R2	water	Cp	sink	x	x	sc_samples	24	no
S_75	A068MaCpR2_S379_L001_MINLEN-MAXLEN.q25_fixlized.fa	A068MaCpR2	H7	10	R2	water	Cp	sink	x	x	sc_samples	24	no
S_76	A069MaCpR2_S380_L001_MINLEN-MAXLEN.q25_fixlized.fa	A069MaCpR2	H8	10	R2	water	Cp	sink	x	x	sc_samples	24	no
S_77	A070MaCpR2_S381_L001_MINLEN-MAXLEN.q25_fixlized.fa	A070MaCpR2	H9	10	R2	water	Cp	sink	x	x	sc_samples	24	no
S_78	A071CoNtR3_S298_L001_MINLEN-MAXLEN.q25_fixlized.fa	A071CoNtR3	A10	10	R3	water	Nt	sink	x	x	sc_samples	38	no
